"","gas","food","dap","yr"
"317",5.05843597847,91.81853067796,309.25,2017.33333333333
"318",4.88676678563,91.52072359875,310.3,2017.41666666667
"319",5.00392083226,91.67612020299,313.75,2017.5
"320",5.47660118187,88.5015326084,320.75,2017.58333333333
"321",5.96114997199,89.21272238906,325.9,2017.66666666667
"322",6.17632034854,88.60248565631,322.375,2017.75
"323",6.69459903982,89.1912239248,344,2017.83333333333
"324",7.13893361413,88.20048648571,357.25,2017.91666666667
"325",6.66225501314,90.63713866905,360.375,2018
"326",6.7187497665,92.91798384759,370,2018.08333333333
"327",6.69738764036,93.99571600277,378,2018.16666666667
"328",6.92785820242,96.09351687844,384.75,2018.25
"329",7.48735405732,96.78577136753,384.375,2018.33333333333
"330",7.44894284404,93.37615370344,391.6,2018.41666666667
"331",7.59883923025,89.97371015065,400.75,2018.5
"332",8.08490993844,88.70595371007,409,2018.58333333333
"333",9.52157703121,85.62363480208,421.63,2018.66666666667
"334",8.79096072974,86.37324829236,420.75,2018.75
"335",8.26507901291,84.80968252344,410.2,2018.83333333333
"336",7.97624238009,86.07561865289,389.67,2018.91666666667
"337",7.26234323345,86.96569315911,382.13,2019
"338",6.0057971222,87.44564925642,357.38,2019.08333333333
"339",5.17873567413,86.19542139779,335.03,2019.16666666667
"340",4.92218081968,85.96681748106,323.75,2019.25
"341",4.34105529405,84.99140552088,313.4,2019.33333333333
"342",3.58800651227,88.06205901492,314.88,2019.41666666667
"343",3.62037140561,86.85765171259,307.5,2019.5
"344",3.67677516041,84.69030376453,292.9,2019.58333333333
"345",4.20525568494,84.21031883363,285.75,2019.66666666667
"346",5.05721785787,86.30144325931,277.38,2019.75
"347",5.15000421731,89.90604829952,248,2019.83333333333
"348",4.62047221239,92.16671071364,238.16,2019.91666666667
"349",3.63338434727,93.87050823628,264.9,2020
"350",2.90777364106,90.51275431347,279.38,2020.08333333333
"351",2.71886838175,88.03062978073,276.22,2020.16666666667
"352",2.12031866732,85.62447867714,282,2020.25
"353",1.57516497792,85.43117587786,263,2020.33333333333
"354",1.75217111218,88.31757642,273,2020.41666666667
"355",1.80103549647,89.20199805726,305.1,2020.5
"356",2.86189667673,91.16760818154,341.88,2020.58333333333
"357",3.95213946267,95.15748562971,358.38,2020.66666666667
"358",4.88959040816,98.80439155409,357.1,2020.75
"359",4.83583900516,103.99943529101,359.63,2020.83333333333
"360",5.85610629604,107.34149661,388.5,2020.91666666667
"361",7.2683017493,115.02362546594,421.3,2021
"362",6.15850716652,116.63489889977,528.88,2021.08333333333
"363",6.12706957935,115.31038389882,534.13,2021.16666666667
"364",7.14681628809,119.84035418804,543.4,2021.25
"365",8.90875692439,127.64371550365,574.63,2021.33333333333
"366",10.30105100564,123.37953651006,604.75,2021.41666666667
"367",12.50994243239,122.27763244512,613,2021.5
"368",15.42647593843,122.91518550125,603.13,2021.58333333333
"369",22.84059607792,120.31244238343,643.75,2021.66666666667
"370",31.05246636754,121.92993316929,672.9,2021.75
"371",27.62343200775,122.94504059973,726.69,2021.83333333333
"372",38.02711984318,122.89728875666,745,2021.91666666667
"373",28.26067331655,128.69332724907,699.38,2022
"374",27.2297159067,136.56691115617,747.13,2022.08333333333
"375",42.39297079612,151.99866272781,938.13,2022.16666666667
"376",32.20418722871,152.87887214793,954,2022.25
"377",29.17072267381,153.06571374224,842.5,2022.33333333333
"378",33.55773104275,145.41712931693,783.75,2022.41666666667
"379",51.33003047298,132.68784469714,784,2022.5
"380",70.04363980339,131.46982146565,749.38,2022.58333333333
"381",59.10262225038,131.24973189424,752,2022.66666666667
"382",39.02204993845,132.15626402768,725,2022.75
"383",35.72328224044,131.6888561972,665.63,2022.83333333333
"384",36.04426003614,129.53682717013,625,2022.91666666667
"385",20.18397092135,130.03158857915,631,2023
"386",16.53713727891,131.01661483669,612.5,2023.08333333333
"387",13.81207686229,127.57177657921,606,2023.16666666667
"388",13.52052961513,130.94954906766,637,2023.25
"389",10.10875599841,126.89120262473,510,2023.33333333333
"390",10.35062473915,122.56024269314,454.55,2023.41666666667
"391",9.54528398968,123.93484932699,458.75,2023.5
"392",11.19194456369,121.6673676867,528.75,2023.58333333333
"393",11.54929514615,124.46096201781,527.9,2023.66666666667
"394",14.56950705657,122.56674846001,534.75,2023.75
"395",14.48505487638,123.67270965732,535.63,2023.83333333333
"396",11.50665790666,120.00502603147,563.75,2023.91666666667
"397",9.55961355312,118.0397862656,596.25,2024
"398",8.14838086764,116.55287236675,583.81,2024.08333333333
"399",8.55372632183,117.2393042208,617.5,2024.16666666667
"400",9.08511900567,116.61157186588,545,2024.25
